date,gold_price,usd_idr,inflation,interest_rate
1/1/2015,549000,12385,0.0696,0.0775
1/2/2015,545000,12542.5,0.0696,0.0775
1/3/2015,545000,12542.5,0.0696,0.0775
1/4/2015,545000,12542.5,0.0696,0.0775
1/5/2015,545000,12627.5,0.0696,0.0775
1/6/2015,550000,12657.5,0.0696,0.0775
1/7/2015,557000,12738.5,0.0696,0.0775
1/8/2015,558000,12680,0.0696,0.0775
1/9/2015,557000,12651.5,0.0696,0.0775
1/10/2015,557000,12651.5,0.0696,0.0775
1/11/2015,557000,12651.5,0.0696,0.0775
1/12/2015,563000,12597.5,0.0696,0.0775
1/13/2015,561000,12597.5,0.0696,0.0775
1/14/2015,563000,12613,0.0696,0.0775
1/15/2015,561000,12560,0.0696,0.0775
1/16/2015,573000,12587.5,0.0696,0.0775
1/17/2015,581000,12587.5,0.0696,0.0775
1/18/2015,581000,12587.5,0.0696,0.0775
1/19/2015,580000,12618.5,0.0696,0.0775
1/20/2015,580000,12584,0.0696,0.0775
1/21/2015,584000,12480,0.0696,0.0775
1/22/2015,582000,12487.5,0.0696,0.0775
1/23/2015,581000,12472.5,0.0696,0.0775
1/24/2015,580000,12472.5,0.0696,0.0775
1/25/2015,580000,12472.5,0.0696,0.0775
1/26/2015,579000,12510,0.0696,0.0775
1/27/2015,575000,12476.5,0.0696,0.0775
1/28/2015,580000,12486,0.0696,0.0775
1/29/2015,578000,12567.5,0.0696,0.0775
1/30/2015,570000,12667.5,0.0696,0.0775
1/31/2015,583000,12667.5,0.0696,0.0775
2/1/2015,583000,12667.5,0.0629,0.075
2/2/2015,581000,12685,0.0629,0.075
2/3/2015,578000,12654,0.0629,0.075
2/4/2015,574000,12625,0.0629,0.075
2/5/2015,577000,12632.5,0.0629,0.075
2/6/2015,576000,12614.5,0.0629,0.075
2/7/2015,563000,12614.5,0.0629,0.075
2/8/2015,563000,12614.5,0.0629,0.075
2/9/2015,565000,12647.5,0.0629,0.075
2/10/2015,566000,12672.5,0.0629,0.075
2/11/2015,563000,12715,0.0629,0.075
2/12/2015,563000,12792.5,0.0629,0.075
2/13/2015,566000,12787.5,0.0629,0.075
2/14/2015,566000,12787.5,0.0629,0.075
2/15/2015,566000,12787.5,0.0629,0.075
2/16/2015,567000,12752.5,0.0629,0.075
2/17/2015,567000,12769.5,0.0629,0.075
2/18/2015,564000,12842.5,0.0629,0.075
2/19/2015,564000,12842.5,0.0629,0.075
2/20/2015,564000,12812.5,0.0629,0.075
2/21/2015,561000,12812.5,0.0629,0.075
2/22/2015,561000,12812.5,0.0629,0.075
2/23/2015,564000,12834.5,0.0629,0.075
2/24/2015,563000,12897.5,0.0629,0.075
2/25/2015,564000,12873.5,0.0629,0.075
