date,gold_price
2025-10-1,2237000
2025-10-2,2235000
2025-10-3,2235000
2025-10-4,2239000
2025-10-6,2250000
2025-10-7,2284000
2025-10-8,2296000
2025-10-9,2303000
2025-10-10,2294000
2025-10-11,2299000
2025-10-13,2305000
2025-10-14,2331000
2025-10-14,2360000
2025-10-15,2383000
2025-10-16,2407000
2025-10-17,2485000
2025-10-18,2428000
2025-10-20,2415000
2025-10-21,2487000
2025-10-22,2310000
2025-10-23,2337000
2025-10-23,2321000
2025-10-24,2354000
2025-10-24,2354000
2025-10-25,2350000
2025-10-27,2327000
2025-10-28,2282000
2025-10-29,2267000
2025-10-30,2263000
2025-10-31,2305000
2025-11-1,2290000
2025-11-3,2278000
2025-11-3,2278000
2025-11-4,2286000
2025-11-5,2260000
2025-11-6,2287000
2025-11-6,2287000
2025-11-7,2296000
2025-11-8,2299000
2025-11-10,2307000
2025-11-11,2333000
2025-11-11,2333000
2025-11-11,2360000
2025-11-12,2367000
2025-11-13,2396000
2025-11-13,2396000
2025-11-14,2398000
2025-11-14,2398000
2025-11-14,2398000
2025-11-15,2348000
2025-11-15,2348000
2025-11-15,2348000
2025-11-17,2351000
2025-11-17,2351000
2025-11-17,2351000
2025-11-17,2351000
2025-11-18,2322000
2025-11-18,2322000
2025-11-18,2322000
2025-11-19,2343000
2025-11-20,2364000
2025-11-21,2348000
2025-11-22,2341000
2025-11-24,2340000
2025-11-24,2340000
2025-11-25,2380000
2025-11-26,2378000
2025-11-27,2387000
2025-11-28,2383000
2025-11-29,2413000
2025-12-1,2415000
2025-12-2,2425000
2025-12-3,2412000
2025-12-4,2406000
2025-12-5,2407000
2025-12-6,2404000
2025-12-8,2409000
2025-12-9,2403000
2025-12-10,2416000
2025-12-11,2431000
2025-12-12,2453000
2025-12-13,2462000
2025-12-15,2464000
2025-12-16,2464000
2025-12-17,2470000
2025-12-18,2487000
2025-12-19,2483000
2025-12-20,2491000
2025-12-22,2502000
2025-12-23,2561000
2025-12-24,2590000
2025-12-25,2576000
2025-12-26,2589000
2025-12-27,2605000
2025-12-29,2596000
2025-12-30,2501000
2025-12-31,2501000
2026-1-1,2488000
2026-1-2,2504000
2026-1-3,2488000
2026-1-5,2515000
2026-1-6,2549000
2026-1-7,2584000
2026-1-8,2570000
2026-1-9,2577000
2026-1-10,2602000
2026-1-12,2631000
2026-1-13,2652000
2026-1-14,2665000
2026-1-15,2675000
2026-1-16,2669000
2026-1-17,2663000
2026-1-19,2703000
2026-1-20,2705000
2026-1-21,2737000
2026-1-21,2772000
2026-1-22,2805000
2026-1-22,2790000
2026-1-23,2880000
2026-1-24,2887000
2026-1-26,2917000
2026-1-27,2916000
2026-1-28,2968000
2026-1-28,3003000
2026-1-29,3168000
2026-1-30,3120000
2026-1-31,2860000
2026-2-2,3027000
2026-2-3,2844000
2026-2-4,2946000
2026-2-4,2973000
2026-2-5,2956000
2026-2-6,2856000
2026-2-6,2890000
2026-2-7,2920000
2026-2-9,2940000
2026-2-10,2954000
2026-2-11,2947000
2026-2-12,2947000
2026-2-13,2904000
2026-2-14,2954000
2026-2-16,2940000
2026-2-17,2918000
2026-2-18,2878000
2026-2-19,2912000
2026-2-19,2916000
2026-2-20,2944000
2026-2-21,3012000
2026-2-23,3028000
2026-2-24,3068000
2026-2-25,3023000
2026-2-26,3039000
2026-2-27,3045000
2026-2-28,3085000
2026-3-2,3135000
2026-3-3,3122000
2026-3-4,3045000
2026-3-5,3049000
2026-3-6,3024000
2026-3-7,3059000
2026-3-9,3004000
2026-3-9,3039000
2026-3-10,3047000
2026-3-11,3087000
2026-3-12,3042000
2026-3-13,3021000
2026-3-14,2997000
2026-3-16,2992000
2026-3-17,2988000
2026-3-18,2996000
2026-3-19,2943000
2026-3-20,2893000
2026-3-21,2893000
2026-3-22,2893000
2026-3-23,2843000
2026-3-24,2843000
2026-3-25,2850000
2026-3-26,2850000
2026-3-27,2810000
2026-3-28,2837000
2026-3-29,2837000
2026-3-30,2807000
2026-3-31,2837000
2026-3-31,2827000
2026-4-1,2902000
2026-4-2,2922000
2026-4-3,2857000
2026-4-4,2857000
2026-4-5,2857000
2026-4-6,2831000
2026-4-7,2850000
2026-4-8,2900000
2026-4-9,2850000
2026-4-10,2857000
2026-4-11,2860000
2026-4-12,2860000
2026-4-13,2818000
2026-4-14,2863000
2026-4-15,2893000
2026-4-16,2888000
2026-4-17,2868000
2026-4-18,2884000
2026-4-19,2884000
